Date,Brands,Categories,Region,SKU,Temperature,CPI,PPI,Unemployment_Rate,Discounts,Weekly Sales
2010-02-07,COCOA_1,RTD Tea/Coffee,Midwest,SKU_1,19.616666666666667,216.741,181.0,9.8,0.11090801161563507,247.0
2010-02-07,COCOA_5,RTD Tea/Coffee,Northeast,SKU_2,19.616666666666667,216.741,181.0,9.8,0.09682659393806686,283.0
2010-02-07,COCOA_5,RTD Tea/Coffee,South,SKU_3,19.616666666666667,216.741,181.0,9.8,0.35885054172261005,240.0
2010-02-07,COCOA_5,RTD Tea/Coffee,West,SKU_4,19.616666666666667,216.741,181.0,9.8,0.0926948331872027,245.0
2010-02-07,COCOA_5,RTD Tea/Coffee,Midwest,SKU_5,19.616666666666667,216.741,181.0,9.8,0.2752775195335556,267.0
2010-02-07,COCOA_4,RTD Tea/Coffee,Northeast,SKU_6,19.616666666666667,216.741,181.0,9.8,0.21122128547230856,276.0
2010-02-07,COCOA_4,RTD Tea/Coffee,West,SKU_7,19.616666666666667,216.741,181.0,9.8,0.39051303431853035,331.0
2010-02-07,COCOA_4,RTD Tea/Coffee,Midwest,SKU_8,19.616666666666667,216.741,181.0,9.8,0.38667238807398235,244.0
2010-02-07,COCOA_3,RTD Tea/Coffee,Northeast,SKU_9,19.616666666666667,216.741,181.0,9.8,0.2350695679278581,260.0
2010-02-07,COCOA_3,RTD Tea/Coffee,South,SKU_10,19.616666666666667,216.741,181.0,9.8,0.11163487375095722,277.0
2010-02-07,COCOA_4,RTD Tea/Coffee,South,SKU_11,19.616666666666667,216.741,181.0,9.8,0.11308366299281257,278.0
2010-02-07,COCOA_3,RTD Tea/Coffee,Midwest,SKU_12,19.616666666666667,216.741,181.0,9.8,0.31287983002218606,265.0
2010-02-07,COCOA_2,RTD Tea/Coffee,Northeast,SKU_13,19.616666666666667,216.741,181.0,9.8,0.09259634845543227,301.0
2010-02-07,COCOA_2,RTD Tea/Coffee,South,SKU_14,19.616666666666667,216.741,181.0,9.8,0.12502424598837542,247.0
2010-02-07,COCOA_2,RTD Tea/Coffee,West,SKU_15,19.616666666666667,216.741,181.0,9.8,0.3931118806815935,243.0
2010-02-07,COCOA_2,RTD Tea/Coffee,Midwest,SKU_16,19.616666666666667,216.741,181.0,9.8,0.29234211247959646,308.0
2010-02-07,COCOA_1,RTD Tea/Coffee,Northeast,SKU_17,19.616666666666667,216.741,181.0,9.8,0.2951024086074162,286.0
2010-02-07,COCOA_1,RTD Tea/Coffee,South,SKU_18,19.616666666666667,216.741,181.0,9.8,0.2834949456483395,267.0
